st lat,st lon,file,row num,k,"sping, in",type,lat,lon
0,0,1,0,0,0,alley,38.942279230000,-92.317609418333
1.16688E-05,0,1,1,30,8,pause,38.942290898800,-92.317609418333
6.65806E-05,0,1,0,0,0,alley,38.942345810600,-92.317609418333
7.82494E-05,0,1,2,40,6,pause,38.942357479400,-92.317609418333
0.000133161,0,1,0,0,0,alley,38.942412391000,-92.317609418333
0.00014483,0,1,3,20,12,pause,38.942424060000,-92.317609418333
0.000199742,0,1,0,0,0,alley,38.942478972000,-92.317609418333
0.000211411,0,1,4,20,12,pause,38.942490641000,-92.317609418333
0.000266323,0,1,0,0,0,alley,38.942545553000,-92.317609418333
0.000266323,-1.05472E-05,2,0,0,0,alley,38.942545553000,-92.317619965533
0.000211411,-1.05472E-05,2,5,40,6,pause,38.942490641000,-92.317619965533
0.000199742,-1.05472E-05,2,0,0,0,alley,38.942478972000,-92.317619965533
0.00014483,-1.05472E-05,2,6,30,8,pause,38.942424060000,-92.317619965533
0.000133161,-1.05472E-05,2,0,0,0,alley,38.942412391000,-92.317619965533
7.82494E-05,-1.05472E-05,2,7,30,8,pause,38.942357479400,-92.317619965533
6.65806E-05,-1.05472E-05,2,0,0,0,alley,38.942345810600,-92.317619965533
1.16688E-05,-1.05472E-05,2,8,20,12,pause,38.942290898800,-92.317619965533
4.379E-12,-1.05472E-05,2,0,0,0,alley,38.942279230004,-92.317619965533
4.379E-12,-2.10943E-05,3,0,0,0,alley,38.942279230004,-92.317630512633
1.16688E-05,-2.10943E-05,3,9,40,6,pause,38.942290898800,-92.317630512633
6.65806E-05,-2.10943E-05,3,0,0,0,alley,38.942345810600,-92.317630512633
7.82494E-05,-2.10943E-05,2,10,20,12,pause,38.942357479400,-92.317630512633
0.000133161,-2.10943E-05,3,0,0,0,alley,38.942412391000,-92.317630512633
0.00014483,-2.10943E-05,3,11,30,8,pause,38.942424060000,-92.317630512633
0.000199742,-2.10943E-05,3,0,0,0,alley,38.942478972000,-92.317630512633
0.000211411,-2.10943E-05,3,12,40,6,pause,38.942490641000,-92.317630512633
0.000266323,-2.10943E-05,3,0,0,0,alley,38.942545553000,-92.317630512633
